,date,team,goals,xg,pass_success_rate,possession,tot_duels_win_rate,sobotr,cornwsr,fkwsr,pen_conversion_rate,acc_cross_rate,succ_for_passes_rate,succ_back_passes_rate,succ_lat_passes_rate,succ_long_passes_rate,succ_fin_third_passes_rate,succ_prog_passes_rate,succ_smart_passes_rate,succ_throw_ins_rate,mean_shot_dist,mean_pass_len,ppda,passes_per_minute,goal_conversion_rate,touches_in_box_per_minute,recoveries_per_minute,shots_on_target_rate
63,9/5/23, Maryland College Park Terrapins,1,1.96,77.23,58.82,43.71,0.0,16.67,0.0,0,41.38,69.57,89.29,82.5,54.55,71.26,81.19,0.0,94.12,16.31,22.0,4.8,3.55,0.09090909090909091,0.15833333333333333,1.0416666666666667,0.18181818181818182
64,9/2/23, Maryland College Park Terrapins,0,1.69,74.46,43.8,56.25,25.0,20.0,40.0,0,16.67,71.55,95.45,68.57,51.06,66.67,83.67,0.0,80.77,17.78,20.94,6.3,2.6226415094339623,0.0,0.12264150943396226,0.8301886792452831,0.3333333333333333
65,8/28/23, Maryland College Park Terrapins,2,1.61,77.46,52.09,51.48,20.0,10.0,0.0,0,27.27,73.91,89.58,79.41,48.78,69.64,83.33,0.0,91.43,18.81,20.3,5.67,3.585858585858586,0.14285714285714285,0.24242424242424243,0.8686868686868687,0.5
66,8/25/23, Maryland College Park Terrapins,0,0.31,77.48,47.98,52.26,0.0,0.0,33.33,0,33.33,69.5,93.55,81.05,65.45,67.57,76.47,0.0,100.0,11.13,22.06,8.35,3.9607843137254903,0.0,0.13725490196078433,0.8529411764705882,0.5
67,11/3/24, Penn State Nittany Lion,1,0.55,73.89,47.22,49.24,28.57,50.0,0.0,0,30.77,62.89,96.51,79.46,35.82,52.44,66.28,0.0,89.47,27.87,19.35,9.47,4.346153846153846,0.1111111111111111,0.09615384615384616,0.9230769230769231,0.3333333333333333
68,10/27/24, Penn State Nittany Lion,0,0.14,80.11,67.64,46.3,0.0,0.0,0.0,0,25.0,63.95,93.68,89.05,43.42,52.5,73.63,0.0,88.46,18.41,21.2,4.07,5.597938144329897,0.0,0.1134020618556701,1.0309278350515463,0.5
69,10/19/24, Penn State Nittany Lion,1,1.0,81.43,59.15,45.54,20.0,0.0,0.0,0,44.44,70.27,93.75,88.52,60.42,64.58,59.6,0.0,82.35,18.89,18.86,10.59,5.028301886792453,0.1,0.09433962264150944,0.8962264150943396,0.3
70,10/12/24, Penn State Nittany Lion,0,0.16,79.07,37.93,43.51,0.0,0.0,100.0,0,50.0,65.93,94.64,89.11,57.41,53.57,68.75,0.0,79.17,22.25,21.25,14.79,3.2149532710280373,0.0,0.04672897196261682,0.7570093457943925,0.0
71,10/8/24, Penn State Nittany Lion,2,2.08,82.88,55.55,47.06,22.22,33.33,0.0,100,33.33,73.04,94.17,89.24,52.17,68.67,76.29,33.33,95.65,22.36,17.65,13.22,5.4950495049504955,0.14285714285714285,0.19801980198019803,0.9306930693069307,0.35714285714285715
72,10/5/24, Penn State Nittany Lion,2,0.66,83.14,47.43,46.43,50.0,0.0,25.0,0,7.14,72.8,96.77,88.89,62.5,63.49,79.03,0.0,88.0,21.58,19.41,7.93,4.313131313131313,0.2,0.12121212121212122,0.7474747474747475,0.5
